Metric,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Year,2026,2026,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031
Month,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cost_Infra_Direct_Recurring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34
Cost_Infra_Upgrade_CAPEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0
Rev_OHXEM,1122.11,1204.8,1324.65,1392.93,1502.05,1526.82,1571.72,2065.32,2426.42,2577.96,3248.41,3627.07,3927.37,4263.15,4730.88,5014.55,5444.95,5568.39,5762.99,6571.49,6905.98,6702.7,7834.41,8208.63,8415.79,9422.18,10723.33,11607.75,12830.05,13322.23,13970.88,16115.79,17109.4,16756.74,19745.26,20839.74,21507.02,22396.99,23969.79,24608.43,25973.02,25896.02,26195.4,28163.52,27997.2,25779.6,28662.48,28634.76,28052.64,27803.16,28385.28,27858.6,28163.52,26943.84,26195.4,28163.52,27997.2,25779.6,28662.48,28634.76,28052.64,27803.16,28385.28,27858.6,28163.52,26943.84,26195.4
PaidUpCapital,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Mgmt_Dev_Transfer,0,0,0,0,0,0,0,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89
Cost_Mgmt_Dev_NewHire,0,0,0,0,0,0,0,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45
Cost_Mgmt_Operations,0,0,0,0,0,0,0,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322
Cost_Mgmt_AI_Research,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Cost_OPEX_Total,12024.69,12024.69,12024.69,12024.69,15874.69,12024.69,12024.69,22638.82,22638.82,24914.83,24914.83,24914.83,30414.83,24914.83,24914.83,24914.83,24914.83,24914.83,24914.83,27920.31,28198.5,31619.38,31619.38,31619.38,32807.38,32708.43,32208.42,30708.43,30708.43,30708.43,30708.43,33175.27,33175.27,33175.27,33175.27,33175.27,33175.27,43175.27,33175.27,33175.27,33175.27,33175.27,33175.27,36457.75,36457.75,36457.75,36457.75,36457.75,36457.75,51457.75,36457.75,36457.75,36457.75,36457.75,36457.75,40137.33,40137.33,40137.33,40137.33,40137.33,40137.33,60137.33,40137.33,40137.33,40137.33,40137.33,40137.33
Tax_Annual,0,0,0,0,0,0,11767.66,0,0,0,0,0,0,0,0,0,0,0,19146.91,0,0,0,0,0,0,0,0,0,0,0,44304.98,0,0,0,0,0,0,0,0,0,0,0,96498.01,0,0,0,0,0,0,0,0,0,0,0,139848.04,0,0,0,0,0,0,0,0,0,0,0,162615.45
Cost_Portrait_IP_RevShare,0,0,0,0,0,0,0,446.1,446.1,446.1,446.1,446.1,446.1,446.1,446.1,446.1,446.1,446.1,446.1,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,1338.3,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,2723.1,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,4836.75,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7,7289.7
